name,Item_num,POS_num,Location,Condition,Price
Used Fender Deluxe Roadhouse Stratocaster Solid Body Electric Guitar,119954379,119954379,Guitar Center Springfield,Used - Excellent,
"Used B.C. Rich Stranger Things ""Eddie's"" Inspired NJ Warlock Solid Body Electric Guitar",119947071,119947071,Guitar Center Fayetteville NC,Used - Excellent,
Used G&L ASAT Classic Bluesboy Tribute Solid Body Electric Guitar,119947169,119947169,Guitar Center Athens,Used - Excellent,
Used Gibson Les Paul Modern Lite Solid Body Electric Guitar,119947140,119947140,Guitar Center Goodlettsville,Used - Excellent,
Used Fender Modern Player Telecaster Thinline Deluxe Hollow Body Electric Guitar,119952520,119952520,Guitar Center Seven Corners,Used - Excellent,
Used Squier Standard Telecaster Solid Body Electric Guitar,119955010,119955010,Guitar Center Danbury,Used - Excellent,
Used Gretsch Guitars G5191 Tim Armstrong Signature Electromatic Hollow Body Electric Guitar,119954383,119954383,Guitar Center Oxford Valley,Used - Excellent,
Used Fender 2020 American Professional II Stratocaster Solid Body Electric Guitar,119955077,119955077,Guitar Center Cincinnati,Used - Excellent,
Used Epiphone Les Paul Custom Solid Body Electric Guitar,119950628,119950628,Guitar Center Katy,Used - Excellent,
Used Gibson 2018 1961 Sg Maestro Vibrola Solid Body Electric Guitar,119957105,119957105,Guitar Center Orange,Used - Excellent,
Used Epiphone Limited Edition Joe Bonamassa Les Paul Standard Solid Body Electric Guitar,119950533,119950533,Guitar Center Norman,Used - Excellent,
Used Sterling by Music Man JP50 John Petrucci Signature Solid Body Electric Guitar,119955728,119955728,Guitar Center South Springfield,Used - Excellent,
Used Gibson ES335 Figured Hollow Body Electric Guitar,119947046,119947046,Guitar Center Little Rock,Used - Excellent,
Used Schecter Guitar Research Tempest Custom Solid Body Electric Guitar,119954993,119954993,Guitar Center Warwick,Used - Excellent,
Used Squier Affinity Stratocaster Solid Body Electric Guitar,119957143,119957143,Guitar Center N. Olmsted,Used - Excellent,
Used Fender American Standard Stratocaster Solid Body Electric Guitar,119952508,119952508,Guitar Center Atlantic City,Used - Excellent,
Used Gretsch Guitars G5420T Electromatic Hollow Body Electric Guitar,119948849,119948849,Guitar Center Overland Park,Used - Excellent,
Used Guild Surfliner Solid Body Electric Guitar,119957189,119957189,Guitar Center Orange,Used - Excellent,
,,,,,
Used Gretsch Guitars G6134TG Limited Edition Penguin Solid Body Electric Guitar,119947100,119947100,Guitar Center Memphis,Used - Excellent,
Used Gretsch Guitars G6120 BSHR ECG Hollow Body Electric Guitar,119952736,119952736,Guitar Center Youngstown,Used - Excellent,
Used Gibson Les Paul Standard Solid Body Electric Guitar,119945846,119945846,Guitar Center Clearlake,Used - Excellent,
Used EVH Wolfgang Standard Solid Body Electric Guitar,119944409,119944409,Guitar Center Jackson,Used - Excellent,
Used Fender Player Plus Meteora HH Solid Body Electric Guitar,119944339,119944339,Guitar Center Augusta,Used - Excellent,
Used Gibson Les Paul Standard 1960S Neck Solid Body Electric Guitar,119944271,119944271,Guitar Center Memphis,Used - Excellent,
Used PRS Wood Library McCarty 594 Solid Body Electric Guitar,119944316,119944316,Guitar Center Memphis,Used - Excellent,
Used Fender Vintera II '70s Solid Body Electric Guitar,119944340,119944340,Guitar Center Augusta,Used - Excellent,
Used Parker Guitars Nitefly USA Solid Body Electric Guitar,119955518,119955518,Guitar Center South Springfield,Used - Excellent,
Used Epiphone Les Paul Standard Pro Solid Body Electric Guitar,119945950,119945950,Guitar Center Plano,Used - Excellent,
Used Fender American Professional II Stratocaster Thinline Hollow Body Electric Guitar,119944360,119944360,Guitar Center Nashville,Used - Excellent,
Used Epiphone Les Paul Standard Pro Solid Body Electric Guitar,119952803,119952803,Guitar Center Danbury,Used - Excellent,
Used EVH 5150 Standard Solid Body Electric Guitar,119952821,119952821,Guitar Center Youngstown,Used - Excellent,
Used Squier Classic Vibe 1960S Stratocaster Solid Body Electric Guitar,119949935,119949935,Guitar Center Fairfax,Used - Excellent,
Used Fender VINTAGE II STRATOCASTER '61 Solid Body Electric Guitar,119953271,119953271,Guitar Center Twin Cities,Used - Excellent,
Used ESP LTD EC1000 Deluxe Solid Body Electric Guitar,119951119,119951119,Guitar Center South Springfield,Used - Excellent,
Used Gretsch Guitars 2018 G5420T Electromatic Hollow Body Electric Guitar,119952695,119952695,Guitar Center Cincinnati,Used - Excellent,
